user,movie,score
1,1,0.9
1,3,0.9
1,6,0.9
1,44,1.0
1,47,1.0
1,63,0.8
1,90,1.0
1,98,0.9
1,125,1.0
1,131,1.0
1,137,1.0
1,185,1.0
1,191,0.8
1,198,1.0
1,202,0.9
1,225,1.0
1,258,0.8
1,276,0.8
1,292,1.0
1,308,0.9
1,315,0.9
1,321,1.0
1,326,0.9
1,368,0.875
1,385,0.9
1,399,1.0
1,419,0.9
1,437,0.8
1,462,1.0
1,477,0.9
1,485,0.9
1,486,1.0
1,509,0.9
1,510,0.9
1,511,0.9
1,514,1.0
1,521,1.0
1,547,0.8
1,552,1.0
1,560,0.8
1,593,0.9
1,595,0.8
1,616,0.8
1,633,0.9
1,702,1.0
1,706,1.0
1,721,1.0
1,724,0.9
1,735,1.0
1,768,0.875
1,782,1.0
1,783,1.0
1,784,1.0
1,787,1.0
1,788,0.875
1,789,1.0
1,790,1.0
1,798,0.9
1,802,1.0
1,811,0.9
1,816,1.0
1,821,1.0
1,829,1.0
1,830,0.9
1,832,1.0
1,837,1.0
1,857,0.9
1,864,1.0
1,899,1.0
1,900,1.0
1,901,1.0
1,908,1.0
1,910,0.9
1,912,1.0
1,915,1.0
1,916,0.9
1,921,0.7
1,922,1.0
1,924,1.0
1,926,1.0
1,928,1.0
1,940,1.0
1,956,1.0
1,958,0.8
1,965,0.9
1,970,1.0
1,975,1.0
1,978,1.0
1,982,1.0
1,991,1.0
1,997,1.0
1,1037,0.9
1,1061,0.8
1,1077,0.8
1,1085,0.8
1,1111,1.0
1,1127,1.0
1,1147,0.9
1,1155,1.0
1,1172,0.9
1,1182,1.0
1,1184,0.8
1,1191,1.0
1,1219,1.0
1,1221,0.9
1,1225,1.0
1,1236,0.875
1,1262,0.8
1,1299,1.0
1,1320,0.9
1,1327,1.0
1,1333,1.0
1,1334,1.0
1,1402,1.0
1,1408,1.0
1,1432,1.0
1,1445,0.9
1,1476,0.9
1,1481,1.0
1,1488,0.9
1,1494,1.0
1,1504,0.9
1,1506,1.0
1,1517,1.0
1,1518,1.0
1,1523,1.0
1,1527,1.0
1,1544,1.0
1,1554,1.0
1,1557,0.875
1,1558,1.0
1,1560,1.0
1,1563,1.0
1,1568,0.9
1,1577,1.0
1,1578,1.0
1,1596,1.0
1,1598,1.0
1,1600,1.0
1,1602,1.0
1,1618,1.0
1,1629,0.9
1,1645,0.9
1,1675,0.75
1,1688,0.9
1,1692,0.9
1,1705,1.0
1,1735,1.0
1,1744,0.7
1,1756,1.0
1,1769,0.9
1,1789,1.0
1,1791,0.7857142857142857
1,1797,1.0
1,1807,0.9
1,1815,0.875
1,1827,1.0
1,1843,0.9
1,1851,1.0
1,1859,1.0
1,1867,0.9
1,1875,1.0
1,1884,1.0
1,1905,0.875
1,1906,1.0
1,1918,1.0
1,1940,1.0
1,1947,1.0
1,1958,1.0
1,1972,0.9
1,1973,0.7
1,1980,0.9
1,1987,0.9
1,1988,1.0
1,1991,1.0
1,1992,0.9
1,1995,1.0
1,1998,0.8
1,2021,1.0
1,2029,1.0
1,2039,1.0
1,2078,1.0
1,2104,0.9
1,2127,0.9444444444444444
1,2146,1.0
1,2158,1.0
1,2183,1.0
1,2194,0.9
1,2217,1.0
1,2219,1.0
1,2220,1.0
1,2221,1.0
1,2227,1.0
1,2249,0.9
1,2251,1.0
1,2255,1.0
1,2257,1.0
1,2260,0.9
1,2287,1.0
1,2288,1.0
1,2303,1.0
1,2304,1.0
1,2311,0.9444444444444444
1,2373,1.0
1,2389,0.9
1,2395,0.6
1,2432,0.875
1,2435,0.8
1,2441,1.0
1,2461,1.0
1,2527,1.0
1,2572,1.0
1,2573,1.0
1,2574,1.0
1,2580,1.0
1,2582,1.0
1,2604,1.0
1,2609,0.9
1,2637,0.9
1,2675,1.0
1,2697,0.9
1,2714,0.9
1,2734,1.0
1,2765,1.0
1,2766,1.0
1,2789,1.0
1,2799,0.9
1,2803,1.0
1,2837,1.0
1,2848,0.9
1,2992,0.9
1,3674,1.0
2,278,0.8
2,292,0.9
2,1285,0.95
2,2675,0.9
2,4616,0.9
2,5306,0.85
2,6254,0.9
2,6316,0.9
2,6711,0.95
2,6802,1.0
2,7011,0.95
2,7155,0.8
2,7259,0.9
2,7324,0.8
2,7373,0.9
2,7416,0.95
2,7437,1.0
2,7591,0.9
2,7698,1.0
2,7769,0.85
2,7777,0.75
2,8064,0.85
2,8306,1.0
2,8377,0.8
2,8467,0.9
2,8510,0.7857142857142857
2,8551,0.85
2,8682,1.0
2,8829,1.0
3,31,0.55
3,462,0.55
3,546,0.55
3,566,0.5625
3,586,0.55
3,657,1.0
3,697,0.55
3,833,0.55
3,854,0.55
3,963,0.55
3,972,0.55
3,975,0.85
3,1001,0.55
3,1055,0.8
3,1191,0.95
3,1494,0.55
3,1545,0.55
3,1554,0.55
3,1568,0.7
3,1702,0.9
3,1825,0.55
3,2142,1.0
3,2281,1.0
3,2417,0.55
3,2766,1.0
3,2946,0.55
3,3336,1.0
3,3667,0.55
3,3735,1.0
3,4046,1.0
3,4051,1.0
3,4123,1.0
3,4274,0.5625
3,4596,1.0
3,5053,1.0
3,5081,1.0
3,5505,1.0
3,7115,1.0
3,7186,0.5625
4,21,0.8
4,32,0.7
4,42,0.8
4,44,0.7
4,48,0.8
4,53,0.8
4,95,1.0
4,109,1.0
4,110,0.6666666666666666
4,136,1.0
4,144,0.8
4,149,1.0
4,162,0.7
4,184,1.0
4,190,0.6
4,199,1.0
4,202,0.7
4,212,0.8
4,225,1.0
4,229,1.0
4,258,0.6
4,279,1.0
4,301,1.0
4,304,0.9
4,307,0.9
4,310,0.8
4,316,0.8
4,327,0.9
4,362,0.7
4,385,0.6
4,392,0.75
4,399,1.0
4,414,1.0
4,430,1.0
4,445,0.6
4,472,1.0
4,473,0.6
4,486,0.7
4,507,0.9
4,511,1.0
4,513,0.8
4,516,0.7
4,521,1.0
4,547,0.8
4,578,0.9
4,605,0.875
4,629,0.9
4,677,0.9
4,681,1.0
4,682,0.9
4,685,0.9
4,687,0.9
4,691,1.0
4,693,1.0
4,695,1.0
4,697,1.0
4,702,1.0
4,703,1.0
4,712,1.0
4,719,0.875
4,784,0.9
4,800,1.0
4,809,0.8
4,811,0.7
4,816,0.9
4,818,1.0
4,820,0.7
4,821,1.0
4,825,1.0
4,827,1.0
4,834,0.8
4,841,1.0
4,864,1.0
4,885,0.9
4,887,0.6
4,892,1.0
4,899,1.0
4,900,1.0
4,901,0.8
4,902,0.7
4,906,1.0
4,913,0.6
4,915,0.9
4,921,0.9
4,927,0.9
4,950,1.0
4,959,0.9
4,965,0.9
4,966,0.9
4,979,0.7
4,982,1.0
4,983,1.0
4,988,0.9
4,991,0.9
4,1003,0.8
4,1072,0.6
4,1114,1.0
4,1125,0.9
4,1147,0.9
4,1155,0.9
4,1184,0.8
4,1200,0.6
4,1219,0.7
4,1233,0.9
4,1285,0.6
4,1291,0.9
4,1299,0.9
4,1300,1.0
4,1301,0.8
4,1349,1.0
4,1364,0.7857142857142857
4,1375,0.9
4,1377,0.8
4,1382,0.7222222222222222
4,1385,0.9
4,1391,0.8
4,1397,1.0
4,1398,0.6
4,1405,0.8
4,1425,1.0
4,1444,0.7
4,1445,1.0
4,1446,0.9
4,1495,0.7
4,1542,0.9
4,1544,1.0
4,1572,0.9
4,1604,0.8
4,1609,1.0
4,1629,1.0
4,1641,1.0
4,1651,0.9
4,1652,1.0
4,1698,0.6
4,1731,0.6
4,1742,0.7
4,1754,0.9
4,1762,0.9
4,1792,1.0
4,1797,0.8
4,1807,0.9
4,1856,0.9
4,1940,0.6
4,1950,1.0
4,1961,1.0
4,1980,0.6
4,2015,0.9
4,2021,1.0
4,2037,0.7
4,2079,0.9
4,2080,0.6
4,2085,0.7
4,2098,1.0
4,2137,1.0
4,2146,1.0
4,2159,1.0
4,2198,0.9
4,2202,1.0
4,2227,0.7
4,2239,0.7
4,2260,0.9
4,2287,0.9
4,2298,1.0
4,2309,0.9
4,2326,0.875
4,2329,1.0
4,2383,0.9
4,2394,0.6
4,2395,0.9
4,2414,0.9
4,2443,0.9
4,2489,0.9
4,2511,0.8
4,2518,1.0
4,2527,0.9
4,2547,0.9
4,2606,0.7
4,2609,0.6
4,2624,1.0
4,2645,0.7
4,2682,0.6
4,2832,0.8333333333333333
4,2848,0.8
4,2881,1.0
4,2908,0.9
4,2917,0.8
4,2960,0.9
4,2984,0.9
4,2989,0.8
4,2999,0.6
4,3005,0.875
4,3006,0.9
4,3011,0.8
4,3012,0.8
4,3016,0.9
4,3017,1.0
4,3043,1.0
4,3070,1.0
4,3088,0.8
4,3104,1.0
4,3142,0.7
4,3153,1.0
4,3158,0.9
4,3162,0.9285714285714286
4,3167,1.0
4,3174,0.9
4,3197,0.6
4,3220,1.0
4,3242,0.8
4,3413,0.6
4,3476,0.8333333333333333
4,3487,1.0
4,3566,0.8
4,3575,0.9
4,3580,0.9444444444444444
4,3619,1.0
5,1,0.9
5,21,0.9
5,33,0.9
5,34,0.9
5,36,0.8
5,47,0.9
5,53,1.0
5,98,0.9
5,124,0.8
5,127,0.8
5,199,0.9
5,212,1.0
5,218,0.8
5,226,0.9
5,229,0.8
5,230,0.6
5,252,1.0
5,258,1.0
5,261,0.8
5,276,0.7
5,278,0.8
5,303,0.8
5,308,0.8
5,316,0.7
5,323,0.8
5,326,0.9
5,338,0.7
5,356,0.8
5,399,0.9
5,413,0.9
5,414,1.0
5,451,0.8
5,462,1.0
5,465,0.9
5,468,0.8
5,507,0.9
5,508,0.8
5,509,1.0
5,510,0.8
5,512,1.0
5,513,1.0
5,514,1.0
5,515,0.8
5,521,0.8
6,2,0.9
6,3,1.0
6,4,1.0
6,5,1.0
6,6,0.9
6,7,0.9
6,8,0.8
6,10,0.8
6,11,0.9
6,13,0.875
6,15,0.9
6,16,0.9
6,17,0.9
6,19,0.7
6,21,0.7
6,22,1.0
6,24,0.9
6,25,0.8
6,26,1.0
6,27,0.8
6,31,0.8
6,32,0.9
6,33,0.9
6,34,1.0
6,38,0.9
6,40,1.0
6,42,0.8
6,43,0.9
6,44,0.9
6,47,0.6
6,50,1.0
6,54,0.9
6,55,0.9
6,56,0.9
6,59,0.8
6,60,0.875
6,69,0.9
6,72,0.8
6,78,1.0
6,79,1.0
6,80,0.7
6,81,1.0
6,82,1.0
6,83,1.0
6,85,0.9
6,89,0.875
6,91,0.6
6,93,0.9
6,94,0.8
6,98,1.0
6,100,0.9
6,101,0.875
6,110,1.0
6,114,0.8
6,116,0.8
6,117,0.9
6,119,0.9
6,120,1.0
6,124,0.9
6,125,0.9
6,127,0.8
6,132,0.9
6,133,0.8333333333333333
6,134,1.0
6,135,0.8
6,137,0.8
6,139,0.8
6,141,1.0
6,143,0.8
6,144,0.8
6,147,0.8
6,150,0.875
6,152,0.75
6,153,0.7
6,154,0.875
6,157,0.8
6,158,0.8
6,161,1.0
6,163,0.7
6,166,0.9
6,167,0.875
6,170,1.0
6,173,0.8333333333333333
6,174,0.875
6,176,0.9
6,177,0.8
6,178,0.875
6,179,1.0
6,181,1.0
6,185,0.9
6,186,0.8
6,187,0.7
6,188,1.0
6,190,0.9
6,192,0.8
6,193,0.9
6,197,1.0
6,198,0.8
6,201,0.75
6,203,0.9
6,204,0.9
6,206,0.8333333333333333
6,207,1.0
6,210,1.0
6,213,1.0
6,215,1.0
6,216,0.9285714285714286
6,217,0.9
6,218,0.8
6,219,1.0
6,221,0.8
6,222,1.0
6,223,0.875
6,226,0.9
6,227,1.0
6,229,0.8
6,230,0.8
6,231,0.8
6,233,0.8
6,234,0.9
6,236,0.8
6,237,1.0
6,239,0.9
6,240,1.0
6,242,1.0
6,244,0.9
6,245,0.8
6,250,0.7
6,251,0.8
6,253,1.0
6,254,0.9
6,255,0.8
6,258,0.7
6,263,0.875
6,264,0.8
6,265,0.9
6,270,1.0
6,272,0.6666666666666666
6,273,0.875
6,274,1.0
6,275,0.9
6,276,1.0
6,277,0.9
6,278,1.0
6,286,0.6
6,288,0.9
6,289,0.875
6,291,0.8
6,292,1.0
6,295,1.0
6,296,1.0
6,298,0.9
6,299,1.0
6,301,0.8
6,302,0.875
6,303,0.8
6,306,0.8
6,307,0.8
6,308,1.0
6,309,1.0
6,310,0.9
6,311,1.0
6,312,0.9
6,313,1.0
6,314,0.9
6,315,1.0
6,316,0.8
6,317,1.0
6,318,1.0
6,319,1.0
6,320,1.0
6,321,0.8
6,323,1.0
6,325,0.8
6,326,0.9
6,327,1.0
6,329,0.9
6,330,0.8
6,333,0.8
6,335,1.0
6,336,0.9285714285714286
6,338,0.9
6,339,0.8
6,340,0.8
6,341,0.8
6,351,1.0
6,356,0.8
6,357,0.8
6,360,1.0
6,361,0.875
6,364,0.8
6,371,0.875
6,377,1.0
6,379,0.9
6,380,0.8
6,382,1.0
6,384,0.9
6,388,0.875
6,392,1.0
6,396,0.9
6,397,0.875
6,399,1.0
6,400,1.0
6,402,1.0
6,405,0.7
6,407,0.9
6,408,1.0
6,411,1.0
6,413,0.9
6,414,0.9
6,416,1.0
6,419,1.0
6,423,0.8
6,427,1.0
6,428,0.875
6,429,0.9
6,431,0.8
6,432,0.8
6,435,0.8
6,437,1.0
6,439,0.8
6,441,0.875
6,444,0.9
6,445,0.8
6,446,1.0
6,451,0.9
6,452,0.9
6,456,0.8
6,460,0.8
6,462,0.8
6,465,0.8
6,466,0.875
6,470,0.875
6,471,0.875
6,473,0.8
6,474,0.875
6,476,0.9
6,477,0.8
6,479,0.7857142857142857
6,481,0.875
6,485,0.8
6,486,1.0
6,495,1.0
6,498,0.8
6,506,1.0
6,507,1.0
6,508,0.8
6,509,1.0
